開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,1等口数,2等口数,3等口数,4等口数,5等口数,6等口数,1等賞金,2等賞金,3等賞金,4等賞金,5等賞金,6等賞金,キャリーオーバー
1,2013/04/05,7,10,12,17,23,28,34,3,15,1,24,168,8254,115022,189593,301716500,4144600,828900,9800,1700,900,0
2,2013/4/12,20,24,29,31,33,34,35,32,12,0,3,63,3631,67155,122990,0,27968500,1864500,18900,2500,1200,247506600
3,2013/4/19,2,7,8,11,14,23,31,5,15,0,15,218,9957,147796,252702,0,8717200,839700,10700,1700,900,646583065
4,2013/4/26,12,13,22,23,24,28,29,2,14,0,6,132,7217,127060,217162,0,22730100,1446400,15500,2100,1100,1055636845
5,2013/5/3,1,3,4,5,16,21,28,22,31,0,13,217,10451,163965,239669,0,11525600,966600,11700,1800,1100,1502479900
6,2013/5/10,5,15,19,23,30,34,35,6,25,0,13,166,9111,158890,271441,0,12174300,1334700,14200,2000,1000,1975256125
7,2013/5/17,1,3,5,7,27,29,33,6,15,3,18,209,10300,164712,287966,800000000,8835900,1065300,12600,1900,1000,41801960
8,2013/5/24,2,21,28,29,30,32,36,6,8,0,4,98,5628,98454,201752,0,28966000,1655100,16900,2300,1000,390672500
9,2013/5/31,3,4,15,23,27,30,36,13,35,2,4,201,8281,129548,213199,380111200,30883600,860400,12200,1900,1000,0
10,2013/6/7,1,2,3,6,24,28,30,16,20,0,4,147,6861,113261,166137,0,26389000,1005200,12600,1800,1100,321524240
11,2013/6/14,9,15,26,29,32,34,36,14,35,1,6,138,6700,112138,211430,707670400,20977400,1276800,15400,2200,1000,0
12,2013/6/21,11,12,14,19,26,27,33,24,32,1,9,198,7888,111522,167040,296535200,11274500,717400,10500,1800,1100,0
13,2013/6/28,6,10,16,21,27,28,35,15,34,0,8,116,6420,102857,180788,0,12556800,1212300,12800,1900,1000,297797015
14,2013/7/5,4,7,8,9,24,28,30,34,36,2,16,206,9151,138034,208315,316971200,7259000,789300,10400,1700,1000,0
